Product Name,Final Price,Image URL
Samsung Uv Sterilizer - White,"Rs 9,999.00",https://essstr.blob.core.windows.net/essimg/350x/Small/GP-TOU020SABWW.jpg
Samsung Galaxy Tab A9 4+64 - Grey,"Rs 85,667.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-X115-GRY.jpg
Samsung Galaxy Tab A9+ 5G 4+64 - Grey,"Rs 124,489.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-X216B-GRY.jpg
Samsung Galaxy Tab A9+ 5G 8+128 - Grey,"Rs 140,419.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-X216BE-GRY.jpg
Samsung Galaxy A06 4+64Gb-Black,"Rs 39,799.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A065FD-BLK.jpg
Asus Notebook - Ultra Light Weight,"Rs 399,000.00",https://essstr.blob.core.windows.net/essimg/350x/Small/B3402FBA.jpg
Asus Desktop Computer - I7 Pro - 12 Gen,"Rs 326,000.00",https://essstr.blob.core.windows.net/essimg/350x/Small/D700MDE.jpg
Asus Desktop Computer - I7 Win 10 Pro - Q Chipset,"Rs 189,000.00",https://essstr.blob.core.windows.net/essimg/350x/Small/D900TA.jpg
Asus Desktop Computer - I7 Dos - 10 Gen,"Rs 295,000.00",https://essstr.blob.core.windows.net/essimg/350x/Small/D700ME-DOS.jpg
Asus Desktop Computer - I7 Pro - 13 Gen,"Rs 359,000.00",https://essstr.blob.core.windows.net/essimg/350x/Small/D700ME-PRO.jpg
25W Adapter Only,"Rs 6,099.00",https://essstr.blob.core.windows.net/essimg/350x/Small/EP-T2510NBEGGB.jpg
Samsung Galaxy M14 6+128Gb-D.Blue,"Rs 55,399.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-M145FH-DBLU.jpg
Samsung Galaxy S25 Ultra 12+256-T.Silver,"Rs 474,726.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-S938BB-TSB.jpg
Samsung Galaxy S25 Ultra 12+256-T.Black,"Rs 474,726.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-S938BK-TBLK.jpg
Samsung Galaxy S25 Ultra 12+256-T.Gray,"Rs 474,726.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-S938BT-TGRY.jpg
Samsung Galaxy A26 5G 8+128Gb - Black,"Rs 111,839.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A266BG-BLK.jpg
Samsung Galaxy A26 5G 8+128Gb - L.Green,"Rs 111,839.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A266BG-LGRN.jpg
Samsung Galaxy A26 5G 8+256Gb -Black,"Rs 124,039.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A266BH-BLK.jpg
Samsung Galaxy A26 5G 8+256Gb - L. Green,"Rs 124,039.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A266BH-LGRN.jpg
Samsung Galaxy A36 5G 8+256Gb -Black,"Rs 147,419.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A366EG-BLK.jpg
Samsung Galaxy A36 5G 8+256Gb - L.Green,"Rs 147,419.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A366EG-LGRN.jpg
Samsung Galaxy A56 5G 12+256Gb -Grey,"Rs 194,179.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A566ED-GRY.jpg
Samsung Galaxy F16 5G 6+128Gb - Blue,"Rs 68,579.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-E166PG-BLU.jpg
Samsung Galaxy A36 5G 12+256Gb - Black,"Rs 162,669.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A366EH-BLK.jpg
Samsung Galaxy A36 5G 12+256Gb - L. Green,"Rs 162,669.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A366EH-LGRN.jpg
Samsung Galaxy A56 5G 8+256Gb - Black,"Rs 178,929.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A566EC-BLK.jpg
Samsung Galaxy A56 5G 8+256Gb - Grey,"Rs 178,929.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A566EC-GRY.jpg
Samsung Galaxy A56 5G 12+256Gb - Black,"Rs 194,179.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A566ED-BLK.jpg
Samsung Galaxy F16 5G 6+128Gb - Green,"Rs 68,579.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-E166PG-GRN.jpg
Samsung Galaxy F06 5G 4+128Gb - Blue,"Rs 53,979.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-E066BH-BLU.jpg
Samsung Galaxy F06 5G 4+128Gb - Violet,"Rs 53,979.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-E066BH-VLT.jpg
Samsung Galaxy F06 5G 6+128Gb -  Blue,"Rs 59,709.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-E066BS-BLU.jpg
Samsung Galaxy F06 5G 6+128Gb - Violet,"Rs 59,709.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-E066BS-VLT.jpg
Samsung Galaxy F16 5G 6+128Gb - Black,"Rs 68,579.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-E166PG-BLK.jpg
Samsung Galaxy A06 4+128Gb-Black,"Rs 40,599.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A065FG-BLK.jpg
Samsung Galaxy A06 6+128Gb-Black,"Rs 49,999.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A065FH-BLK.jpg
Samsung Galaxy Tab S9fe 5G 6+128Gb-Grey,"Rs 224,999.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-X516B-GRY.jpg
Samsung Galaxy A16 5G 8+128Gb-Black,"Rs 79,229.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A166PH-BLK.jpg
Samsung Galaxy A16 5G 8+128Gb-Gold,"Rs 79,229.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A166PH-GLD.jpg
Samsung Galaxy A16 5G 8+128Gb-L.Green,"Rs 79,229.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A166PH-LGRN.jpg
Samsung Galaxy A16 5G 8+256Gb-Black,"Rs 91,189.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A166PI-BLK.jpg
Samsung Galaxy A16 5G 8+256Gb-L.Green,"Rs 91,189.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A166PI-LGRN.jpg
Samsung Galaxy S25 12+256-Navy,"Rs 295,999.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-S931BD-NAVY.jpg
Samsung Galaxy S25 12+256-Icy Blue,"Rs 295,999.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-S931BL-IBLU.jpg
Samsung Galaxy A16 5G 8+256Gb-Gold,"Rs 91,189.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A166PI-GLD.jpg
Samsung Galaxy A06 6+128Gb-Gold,"Rs 49,999.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A065FH-GOLD.jpg
Samsung Galaxy A06 6+128Gb-L.Blue,"Rs 49,999.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A065FH-LBLU.jpg
Samsung Galaxy A06 4+128Gb-Gold,"Rs 40,599.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A065FG-GOLD.jpg
Samsung Galaxy A06 4+128Gb-L.Blue,"Rs 40,599.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A065FG-LBLU.jpg
Samsung Mobile F05 4+64Gb-D.Blue,"Rs 38,825.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-E055FD-DBLU.jpg
Samsung Galaxy A06 4+64Gb-Gold,"Rs 39,799.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A065FD-GOLD.jpg
Samsung Galaxy A06 4+64Gb-L.Blue,"Rs 39,799.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-A065FD-LBLU.jpg
Samsung Galaxy M15 5G 6+128 - Dark Blue,"Rs 75,199.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-M156BG-DBLU.jpg
Samsung Galaxy M15 5G 6+128 - Grey,"Rs 75,199.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-M156BG-GRY.jpg
Samsung Galaxy M15 5G 6+128 - Light Blue,"Rs 75,199.00",https://essstr.blob.core.windows.net/essimg/350x/Small/SM-M156BG-LBLU.jpg
